Site,Treatment,Plot,Date_collected,Sampling,Quad_area,Num_Species,Sum_weight,,,,,,,,,,,,,,,,
CB, +Nutrients,1,25-06-2018,Initial ,0.1083,0,0,,,,,,,,,,,,,,,,
CB, +Nutrients,2,25-06-2018,Initial ,0.1083,0,0,,,,,,,,,,,,,,,,
CB, +Nutrients,3,26-06-2018,Initial ,0.1083,0,0,,,,,,,,,,,,,,,,
CB, +Nutrients,4,26-06-2018,Initial ,0.1083,0,0,,,,,,,,,,,,,,,,
CB, +Nutrients,5,26-06-2018,Initial ,0.1083,0,0,,,,,,,,,,,,,,,,
CB, +Nutrients,6,25-06-2018,Initial ,0.1083,0,0,,,,,,,,,,,,,,,,
CB, +Nutrients,7,26-06-2018,Initial ,0.1083,0,0,,,,,,,,,,,,,,,,
CB, +Nutrients,8,26-06-2018,Initial ,0.1083,0,0,,,,,,,,,,,,,,,,
CB,Ambient,1,25-06-2018,Initial ,0.1083,0,0,,,,,,,,,,,,,,,,
CB,Ambient,2,26-06-2018,Initial ,0.1083,1,0.001,,,,,,,,,,,,,,,,
CB,Ambient,3,26-06-2018,Initial ,0.1083,0,0,,,,,,,,,,,,,,,,
CB,Ambient,4,25-06-2018,Initial ,0.1083,1,0.001,,,,,,,,,,,,,,,,
CB,Ambient,5,26-06-2018,Initial ,0.1083,0,0,,,,,,,,,,,,,,,,
CB,Ambient,6,26-06-2018,Initial ,0.1083,0,0,,,,,,,,,,,,,,,,
CB,Ambient,7,26-06-2018,Initial ,0.1083,0,0,,,,,,,,,,,,,,,,
CB,Ambient,8,26-06-2018,Initial ,0.1083,0,0,,,,,,,,,,,,,,,,
CB, +Nutrients,1,24-07-2018,1Month,0.1083,3,21.61599408,,,,,,,,,,,,,,,,
CB, +Nutrients,2,24-07-2018,1Month,0.1083,1,0.739008345,,,,,,,,,,,,,,,,
CB, +Nutrients,3,24-07-2018,1Month,0.1083,3,2.958033378,,,,,,,,,,,,,,,,
CB, +Nutrients,4,24-07-2018,1Month,0.1083,2,5.72731467,,,,,,,,,,,,,,,,
CB, +Nutrients,5,24-07-2018,1Month,0.1083,4,4.990306326,,,,,,,,,,,,,,,,
CB, +Nutrients,6,24-07-2018,1Month,0.1083,2,5.635938627,,,,,,,,,,,,,,,,
CB, +Nutrients,7,24-07-2018,1Month,0.1083,2,1.20188856,,,,,,,,,,,,,,,,
CB, +Nutrients,8,24-07-2018,1Month,0.1083,2,15.24204711,,,,,,,,,,,,,,,,
CB,Ambient,1,,1Month,0.1083,2,12.10226164,,,,,,,,,,,,,,,,
CB,Ambient,2,,1Month,0.1083,3,5.267434455,,,,,,,,,,,,,,,,
CB,Ambient,3,,1Month,0.1083,2,4.80555424,,,,,,,,,,,,,,,,
CB,Ambient,4,,1Month,0.1083,2,2.218025034,,,,,,,,,,,,,,,,
CB,Ambient,5,,1Month,0.1083,2,18.84571279,,,,,,,,,,,,,,,,
CB,Ambient,6,,1Month,0.1083,1,4.156921938,,,,,,,,,,,,,,,,
CB,Ambient,7,,1Month,0.1083,2,0.002,,,,,,,,,,,,,,,,
CB,Ambient,8,,1Month,0.1083,1,5.72731467,,,,,,,,,,,,,,,,