Site,Treatment,Plot,Date_collected,Sampling,Blades,Length,Width,Sheath,foil_wt (g),wet_wt (g),dry_wt (g),Net_drywt (g),GFC_wt,GFC_drywt,Net_epiwt,Biomass_tinwt,Biomass_drywt,Net_biomasswt,Ratio,,,,,,,,,
CB, + Nutrients,1,25-06-2018,Initial,5,48.0,0.4,7.8,2.43,5.5012,2.85,0.42,1.3860,1.3968,0.0108,117.7500,117.92,0.1700,0.025714286,,,,,,,,,
CB, + Nutrients,2,25-06-2018,Initial,7,49.2,0.5,10.8,2.74,5.1262,3.05,0.31,1.3779,1.3824,0.0045,121.4100,121.52,0.1100,0.014516129,,,,,,,,,
CB, + Nutrients,3,26-06-2018,Initial,6,52.2,0.5,9.4,1.92,4.3672,2.22,0.30,1.0967,1.1194,0.0227,0.5319,0.589,0.0571,0.075666667,,,,,,,,,
CB, + Nutrients,4,26-06-2018,Initial,4,33.0,0.6,,1.66,3.2680,1.89,0.23,1.3880,1.3944,0.0064,116.3100,116.4,0.0900,0.027826087,,,,,,,,,
CB, + Nutrients,5,26-06-2018,Initial,8,43.7,0.5,9.2,1.76,3.6660,2.05,0.29,1.0820,1.1110,0.0290,0.5444,1.0601,0.5157,0.1,,,,,,,,,
CB, + Nutrients,6,25-06-2018,Initial,5,32.2,0.4,6.0,1.76,2.1687,1.93,0.17,1.3856,1.3931,0.0075,123.3500,123.38,0.0300,0.044117647,,,,,,,,,
CB, + Nutrients,7,26-06-2018,Initial,5,26.2,0.4,7.0,2.01,3.4815,2.19,0.18,1.3837,1.3925,0.0088,118.9400,119.09,0.1500,0.048888889,,,,,,,,,
CB, + Nutrients,8,26-06-2018,Initial,5,48.0,0.5,11.4,1.71,3.6005,1.99,0.28,1.0871,1.1001,0.0130,0.7714,0.8455,0.0741,0.046428571,,,,,,,,,
CB,Ambient,1,25-06-2018,Initial,2,18.8,0.2,2.2,1.99,2.1564,2.01,0.02,1.3742,1.3748,0.0006,,,,0.03,,,,,,,,,
CB,Ambient,2,26-06-2018,Initial,7,49.0,0.6,10.1,1.48,3.8937,1.91,0.43,1.0934,1.1152,0.0218,,,,0.050697674,,,,,,,,,
CB,Ambient,3,25-06-2018,Initial,5,53.2,0.6,9.8,1.39,5.5228,1.82,0.43,1.3817,1.3894,0.0077,,,,0.017906977,,,,,,,,,
CB,Ambient,4,26-06-2018,Initial,6,34.0,0.5,4.0,1.33,3.2513,1.59,0.26,1.3842,1.3895,0.0053,,,,0.020384615,,,,,,,,,
CB,Ambient,5,26-06-2018,Initial,4,33.0,0.5,5.8,1.58,2.6014,1.72,0.14,1.0986,1.1090,0.0104,,,,0.074285714,,,,,,,,,
CB,Ambient,6,26-06-2018,Initial,7,37.0,0.6,6.8,1.44,4.5843,1.80,0.36,1.3772,1.3889,0.0117,,,,0.0325,,,,,,,,,
CB,Ambient,7,26-06-2018,Initial,5,43.2,0.3,9.4,1.56,3.0073,1.77,0.21,1.1090,1.1226,0.0136,,,,0.064761905,,,,,,,,,
CB,Ambient,8,25-06-2018,Initial,5,43.0,0.5,8.0,1.58,3.4735,1.74,0.16,1.3895,1.3998,0.0103,,,,0.064375,,,,,,,,,
CB, + Nutrients,1,24-07-2018,Week4,4,47.0,0.4,10.3,1.71,3.36,2.02,0.31,1.3672,1.3738,0.0066,1.2858,1.3101,0.0243,0.021290323,,,,,,,,,
CB, + Nutrients,2,24-07-2018,Week4,4,46.3,0.3,12.4,1.60,3.35,1.87,0.27,1.3725,1.3781,0.0056,1.2817,1.2913,0.0096,0.020740741,,,,,,,,,
CB, + Nutrients,3,24-07-2018,Week4,5,71.0,0.5,11.0,1.42,5.00,1.97,0.55,1.3622,1.3767,0.0145,0.9942,1.0337,0.0395,0.026363636,,,,,,,,,
CB, + Nutrients,4,24-07-2018,Week4,4,57.0,0.4,13.2,1.50,3.45,1.83,0.33,1.3708,1.3792,0.0084,1.0025,1.0084,0.0059,0.025454545,,,,,,,,,
CB, + Nutrients,5,24-07-2018,Week4,4,44.9,0.4,10.9,1.46,2.77,1.73,0.27,1.3838,1.3914,0.0076,1.0133,1.0281,0.0148,0.028148148,,,,,,,,,
CB, + Nutrients,6,24-07-2018,Week4,3,30.9,0.3,8.0,1.36,1.87,1.43,0.07,1.3799,1.3822,0.0023,1.0104,1.0136,0.0032,0.032857143,,,,,,,,,
CB, + Nutrients,7,24-07-2018,Week4,5,35.0,0.4,9.0,1.76,2.91,1.95,0.19,1.3731,1.3772,0.0041,1.2796,1.2853,0.0057,0.021578947,,,,,,,,,
CB, + Nutrients,8,24-07-2018,Week4,4,48.0,0.4,12.0,1.56,3.07,1.79,0.23,1.3668,1.3844,0.0176,1.2776,1.2876,0.0100,0.076521739,,,,,,,,,
CB,Ambient,1,24-07-2018,Week4,5,53.1,0.4,8.7,1.42,3.71,1.76,0.34,1.3688,1.3775,0.0087,1.2660,1.2697,0.0037,0.025588235,,,,,,,,,
CB,Ambient,2,24-07-2018,Week4,5,39.7,0.4,10.0,1.41,2.72,1.63,0.22,1.3662,1.3711,0.0049,1.2777,1.2861,0.0084,0.022272727,,,,,,,,,
CB,Ambient,3,24-07-2018,Week4,4,47.1,0.4,7.5,1.51,3.01,1.75,0.24,1.3627,1.3675,0.0048,1.0105,1.0264,0.0159,0.02,,,,,,,,,
CB,Ambient,4,24-07-2018,Week4,5,50.4,0.5,11.3,1.42,3.59,1.83,0.41,1.3519,1.3592,0.0073,0.9910,0.9943,0.0033,0.017804878,,,,,,,,,
CB,Ambient,5,24-07-2018,Week4,4,54.8,0.3,12.2,1.60,3.01,1.81,0.21,1.3515,1.3574,0.0059,1.0052,1.0097,0.0045,0.028095238,,,,,,,,,
CB,Ambient,6,24-07-2018,Week4,4,26.3,0.3,3.6,1.51,2.23,1.63,0.12,1.3564,1.3594,0.0030,0.9735,0.9788,0.0053,0.025,,,,,,,,,
CB,Ambient,7,24-07-2018,Week4,5,66.7,0.4,13.0,1.55,4.40,1.96,0.41,1.3701,1.3801,0.0100,1.2793,1.2851,0.0058,0.024390244,,,,,,,,,
CB,Ambient,8,24-07-2018,Week4,5,40.5,0.4,8.7,1.70,3.04,1.93,0.23,1.3483,1.3525,0.0042,1.2844,1.2892,0.0048,0.01826087,,,,,,,,,