Site,Treatment,Plot,Date_collected,Sampling ,Quad_area,Reg_shoot,Reg_shoot_perm2,flow_shoot,flow_shoot_perm2,Live bag wt (g),live wet wt (g) ,live dry wt (g),Live_netdry,detritus tin wt (g),detritus wet weight (g),detritus dry weight (g) ,Detritus_netdry,Length_sh1,Length_sh2,Length_sh3,Length_sh4,Length_sh5,Mean_L,Width_sh1,Width_sh2,Width_sh3,Width_sh4,Width_sh5,Mean_W,Sheath_sh1,Sheath_sh2,Sheath_sh3,Sheath_sh4,Sheath_sh5,Mean_sheath,Blades_sh1,Blades_sh2,Blades_sh3,Blades_sh4,Blades_sh5,Mean_blades
MBT1,N,1,28-06-2018,Initial,0.1083,25,230.9401077,1,9.24,7.35,84.80,15.75,8.40,2.05,6.34,2.56,0.51,100.5,51.5,58.6,89.9,35.8,67.3,0.8,0.5,0.5,0.7,0.3,0.56,18.2,11.4,10.3,15.8,8.7,12.9,6,5,5,7,4,5.4
MBT1,N,2,28-06-2018,Initial,0.1083,17,157.0392732,1,9.24,7.32,38.15,10.53,3.21,2.03,5.35,2.41,0.38,63.6,30.0,32.9,61.2,31.6,43.9,0.7,0.3,0.4,0.5,0.4,0.46,16.6,6.4,7.8,15.6,8.1,10.9,4,5,4,5,5,4.6
MBT1,N,3,28-06-2018,Initial,0.1083,20,184.7520861,1,9.24,7.30,89.43,16.08,8.78,1.95,26.60,4.93,2.98,109.5,74.6,86.9,104.8,41.1,83.4,0.6,0.6,0.6,0.7,0.3,0.56,26.0,22.1,15.6,21.9,13.1,19.7,5,4,5,8,4,5.2
MBT1,N,4,28-06-2018,Initial,0.1083,14,129.3264603,0,0.00,7.33,59.47,14.05,6.72,2.14,10.42,3.41,1.27,94.7,63.9,53.6,54.0,94.6,72.2,0.6,0.5,0.4,0.4,0.7,0.52,21.4,14.7,12.7,13.2,21.0,16.6,6,5,4,5,5,5.0
MBT1,N,5,28-06-2018,Initial,0.1083,35,323.3161507,1,9.24,7.31,145.82,23.01,15.70,2.07,17.46,4.00,1.93,104.2,75.2,84.4,80.3,93.2,87.5,0.7,0.5,0.6,0.5,0.6,0.58,25.8,14.1,19.2,16.2,22.7,19.6,6,5,8,5,5,5.8
MBT1,N,6,28-06-2018,Initial,0.1083,27,249.4153163,0,0.00,7.34,49.14,12.41,5.07,2.42,6.83,2.96,0.54,76.4,47.5,63.4,70.4,37.9,59.1,0.6,0.4,0.6,0.5,0.4,0.50,13.3,8.3,12.1,14.7,6.2,10.9,4,4,5,4,4,4.2
MBT1,N,7,28-06-2018,Initial,0.1083,26,240.177712,0,0.00,7.34,119.17,20.78,13.44,1.93,27.83,4.84,2.91,98.1,67.1,91.6,80.6,87.9,85.1,0.7,0.6,0.7,0.7,0.7,0.68,24.3,16.6,21.2,18.1,22.7,20.6,6,4,5,8,6,5.8
MBT1,N,8,28-06-2018,Initial,0.1083,18,166.2768775,1,9.24,7.30,48.29,12.11,4.81,1.94,14.76,3.46,1.52,80.4,52.2,64.6,48.8,38.8,57.0,0.6,0.6,0.5,0.5,0.5,0.54,19.9,10.2,12.5,12.0,16.1,14.1,5,8,4,3,4,4.8
MBT1,A,1,28-06-2018,Initial,0.1083,26,240.177712,0,0.00,7.34,100.98,17.64,10.30,2.07,5.72,2.52,0.45,105.9,97.0,48.8,36.1,89.6,75.5,0.6,0.6,0.4,0.4,0.6,0.52,21.8,23.1,11.6,10.1,19.2,17.2,5,5,4,4,7,5.0
MBT1,A,2,28-06-2018,Initial,0.1083,36,332.5537551,0,0.00,7.37,76.90,16.56,9.19,1.93,14.30,3.90,1.97,86.5,78.4,74.2,58.4,64.7,72.4,0.6,0.6,0.5,0.6,0.6,0.58,17.5,19.3,17.6,13.7,16.3,16.9,5,4,4,4,5,4.4
MBT1,A,3,28-06-2018,Initial,0.1083,14,129.3264603,1,9.24,7.36,30.95,10.15,2.79,1.99,8.67,2.96,0.97,67.5,51.1,55.0,50.4,66.5,58.1,0.6,0.4,0.4,0.5,0.5,0.48,20.2,9.5,9.5,10.3,15.4,13.0,6,5,4,4,4,4.6
MBT1,A,4,27-06-2018,Initial,0.1083,22,203.2272948,0,0.00,7.30,111.45,19.48,12.18,1.92,6.85,2.56,0.64,126.0,83.1,61.2,125.7,116.6,102.5,0.6,0.4,0.6,0.7,0.6,0.58,22.0,17.7,15.6,34.0,27.6,23.4,5,4,4,5,5,4.6
MBT1,A,5,28-06-2018,Initial,0.1083,17,157.0392732,0,0.00,7.30,47.66,11.38,4.08,1.89,5.89,2.32,0.43,86.8,82.8,20.5,69.6,30.7,58.1,0.6,0.7,0.3,0.5,0.4,0.50,22.0,19.2,5.7,15.7,11.1,14.7,5,7,3,5,3,4.6
MBT1,A,6,28-06-2018,Initial,0.1083,19,175.5144818,2,18.48,7.29,41.15,11.66,4.37,2.22,15.75,4.01,1.79,87.8,42.4,66.4,68.0,74.2,67.8,0.6,0.4,0.5,0.5,0.6,0.52,20.5,14.2,16.5,15.5,18.5,17.0,5,3,5,5,4,4.4
MBT1,A,7,27-06-2018,Initial,0.1083,20,184.7520861,10,92.38,7.30,121.15,22.99,15.69,2.19,12.55,3.54,1.35,113.9,107.0,78.6,85.1,109.5,98.8,0.7,0.7,0.5,0.5,0.7,0.62,26.3,25.3,18.0,18.7,23.5,22.4,8,8,4,5,8,6.6
MBT1,A,8,28-06-2018,Initial,0.1083,24,221.7025034,1,9.24,7.29,71.44,14.62,7.33,1.86,24.78,4.62,2.76,87.9,80.9,26.8,76.9,81.0,70.7,0.7,0.7,0.5,0.5,0.6,0.60,23.1,22.1,9.5,18.6,21.1,18.9,5,5,3,5,5,4.6
MBT1,N,1,08-08-2018,Week6,0.0625,15,240,1,16.00,7.35,37.11,11.43,4.08,1.65,23.65,4.20,2.55,96.4,48.8,76.5,56.5,58.2,67.3,0.5,0.3,0.5,0.4,0.5,0.44,14.3,8.9,15.3,12.5,15.5,13.3,5,4,4,4,5,4.4
MBT1,N,2,08-08-2018,Week6,0.0625,13,208,0,0.00,7.34,93.33,19.9,12.56,1.57,18.28,3.38,1.81,119.5,99.0,107.4,92.0,51.7,93.9,0.6,0.6,0.6,0.5,0.3,0.52,29.6,23.5,22.9,19.1,9.9,21.0,5,5,5,5,4,4.8
MBT1,N,3,08-08-2018,Week6,0.0625,9,144,1,16.00,7.32,19.44,9.09,1.77,1.58,10.41,2.66,1.08,97.2,93.5,68.6,58.7,28.2,69.2,0.5,0.4,0.4,0.3,0.3,0.38,18.7,17.4,12.3,12.2,7.3,13.6,5,5,4,4,3,4.2
MBT1,N,4,08-08-2018,Week6,0.0625,9,144,0,0.00,7.46,31.46,11.01,3.55,1.57,15.45,3.27,1.70,104.5,66.4,90.1,77.7,42.6,76.3,0.6,0.4,0.6,0.4,0.4,0.48,19.0,9.9,20.4,15.7,10.2,15.0,5,5,5,5,4,4.8
MBT1,N,5,08-08-2018,Week6,0.0625,13,208,2,32.00,7.48,44.50,13.07,5.59,1.56,14.76,3.31,1.75,91.0,84.2,86.7,56.0,71.8,77.9,0.5,0.5,0.4,0.4,0.4,0.44,17.5,18.8,15.8,10.9,15.2,15.6,5,5,5,4,5,4.8
MBT1,N,6,09-08-2018,Week6,0.0625,6,96,0,0.00,7.47,19.36,9.03,1.56,1.56,8.21,2.44,0.88,72.1,21.9,58.3,15.7,57.7,45.1,0.5,0.4,0.4,0.2,0.4,0.38,15.6,13.3,7.0,4.7,11.6,10.4,4,5,4,3,4,4.0
MBT1,N,7,08-08-2018,Week6,0.0625,12,192,0,0.00,7.46,56.99,14.13,6.67,1.56,18.46,3.37,1.81,118.6,75.3,75.5,35.8,76.0,76.2,0.5,0.4,0.4,0.3,0.6,0.44,27.9,10.8,12.9,4.6,16.4,14.5,5,3,4,4,4,4.0
MBT1,N,8,08-08-2018,Week6,0.0625,16,256,0,0.00,7.59,28.41,10.48,2.89,1.55,13.51,2.85,1.30,82.8,62.7,72.6,32.9,47.3,59.7,0.5,0.4,0.5,0.3,0.3,0.40,15.0,13.9,15.5,6.7,9.7,12.2,6,4,5,4,4,4.6
MBT1,A,1,08-08-2018,Week6,0.0625,11,176,0,0.00,7.57,51.29,14.48,6.91,1.44,11.49,2.56,1.12,125.2,110.3,100.6,66.0,35.7,87.6,0.6,0.6,0.6,0.4,0.4,0.52,24.1,22.3,20.0,14.2,18.5,19.8,5,4,6,3,4,4.4
MBT1,A,2,08-08-2018,Week6,0.0625,15,240,0,0.00,7.62,32.63,11.75,4.13,1.61,22.21,4.44,2.83,58.3,33.1,36.2,28.7,33.3,37.9,0.5,0.4,0.4,0.4,0.4,0.42,5.9,4.6,3.1,2.8,4.3,4.1,4,4,4,4,4,4.0
MBT1,A,3,08-08-2018,Week6,0.0625,10,160,0,0.00,7.59,26.41,10.68,3.09,1.64,8.14,2.34,0.70,85.4,58.1,64.6,51.6,42.6,60.5,0.5,0.4,0.4,0.3,0.4,0.40,15.7,9.9,13.2,9.2,11.7,11.9,6,3,3,3,4,3.8
MBT1,A,4,08-08-2018,Week6,0.0625,11,176,0,0.00,7.48,96.33,20.13,12.65,1.79,10.28,2.70,0.91,194.1,190.3,186.0,100.1,109.7,156.0,0.6,0.6,0.7,0.5,0.4,0.56,42.1,37.8,41.6,14.7,24.7,32.2,5,5,6,4,4,4.8
MBT1,A,5,09-08-2018,Week6,0.0625,15,240,0,0.00,7.47,85.16,18.01,10.54,1.61,22.86,3.94,2.33,109.8,106.4,106.0,107.1,60.2,97.9,0.6,0.6,0.6,0.5,0.4,0.54,21.0,20.8,18.9,20.7,16.8,19.6,5,4,5,4,3,4.2
MBT1,A,6,08-08-2018,Week6,0.0625,9,144,0,0.00,7.47,20.81,9.18,1.71,1.84,17.30,3.61,1.77,74.4,38.6,57.8,49.2,42.7,52.5,0.4,0.5,0.4,0.4,0.3,0.40,9.2,10.2,11.9,9.7,6.1,9.4,4,4,4,4,4,4.0
MBT1,A,7,09-08-2018,Week6,0.0625,11,176,0,0.00,7.45,83.90,18.83,11.38,1.69,17.39,3.38,1.69,130.7,124.0,97.3,107.1,109.7,113.8,0.6,0.5,0.5,0.4,0.6,0.52,25.9,30.6,28.7,25.1,22.8,26.6,6,5,5,4,5,5.0
MBT1,A,8,08-08-2018,Week6,0.0625,9,144,0,0.00,7.44,23.20,9.54,2.10,1.63,9.78,2.42,0.79,70.1,54.2,58.3,54.0,30.3,53.4,0.5,0.4,0.4,0.4,0.3,0.40,16.2,13.1,12.1,12.2,7.6,12.2,4,4,3,4,3,3.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6.56,,,,1.52,,,,,,82.4,,,,,,0.47,,,,,,17.0,,,,,,4.2
,,,,,,,,,,,,,4.83,,,,1.61,,,,,,70.7,,,,,,0.44,,,,,,14.5,,,,,,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
